"chart_position","chart_date","song","performer","song_id"
87,1973-06-09,"Bad Weather","The Supremes","Bad WeatherThe Supremes"
99,1974-08-10,"Funky Party","Clarence Reid","Funky PartyClarence Reid"
97,1974-12-07,"Rock 'N' Roll (I Gave You The Best Years Of My Life)","Terry Jacks","Rock 'N' Roll (I Gave You The Best Years Of My Life)Terry Jacks"
100,1975-03-22,"Where Have They Gone","Jimmy Beaumont And The Skyliners","Where Have They GoneJimmy Beaumont And The Skyliners"
96,1975-04-05,"Where Is The Love","Betty Wright","Where Is The LoveBetty Wright"
95,1975-05-17,"Look At You","George McCrae","Look At YouGeorge McCrae"
100,1975-05-31,"Remember The Rain?","The 21st Century","Remember The Rain?The 21st Century"
96,1975-06-28,"One Man Band","Leo Sayer","One Man BandLeo Sayer"
97,1975-06-28,"Two Lane Highway","Pure Prairie League","Two Lane HighwayPure Prairie League"
98,1975-06-28,"Walk On By","Gloria Gaynor","Walk On ByGloria Gaynor"
98,1975-07-05,"Top Of The World (Make My Reservation)","Canyon","Top Of The World (Make My Reservation)Canyon"
98,1975-10-11,"Chinese Kung Fu","Banzaii","Chinese Kung FuBanzaii"
97,1975-12-06,"We All Gotta Stick Together","Four Tops","We All Gotta Stick TogetherFour Tops"
97,1975-12-13,"Love Hurts","Jim Capaldi","Love HurtsJim Capaldi"
95,1976-01-10,"The Little Drummer Boy","Moonlion","The Little Drummer BoyMoonlion"
100,1976-01-24,"I Don't Wanna Leave You","Debbie Taylor","I Don't Wanna Leave YouDebbie Taylor"
100,1976-07-24,"Solitary Man","T.G. Sheppard","Solitary ManT.G. Sheppard"
94,1976-08-14,"Rose Of Cimarron","Poco","Rose Of CimarronPoco"
99,1976-09-18,"Roxy Roller","Sweeney Todd Featuring Bryan Guy Adams","Roxy RollerSweeney Todd Featuring Bryan Guy Adams"
97,1976-10-09,"Can't You See","Waylon Jennings","Can't You SeeWaylon Jennings"
99,1977-02-26,"Ritzy Mambo","The Salsoul Orchestra","Ritzy MamboThe Salsoul Orchestra"
93,1977-03-26,"Six Packs A Day","Billy Lemmons","Six Packs A DayBilly Lemmons"
